type,front_or_cloze_text,back_or_extra,domain,task_statement,priority,card_class,reference
basic,What are the four repeating steps of the agentic loop?,"Send the conversation with tool definitions, check stop_reason, execute any requested tools, and append the results back to the conversation, then repeat.",D1,1.1,high,mechanism,Guide §6 TS1.1 · EP02 · Part 2
basic,What stop_reason value tells the agentic loop to keep executing tools and looping again?,"""tool_use""",D1,1.1,high,trigger,Guide §6 TS1.1 · EP02 · Part 2
basic,What stop_reason value tells the agentic loop to terminate and return the final answer?,"""end_turn""",D1,1.1,high,trigger,Guide §6 TS1.1 · EP02 · Part 2
basic,"Why is scanning Claude's text response for words like ""done"" an unreliable way to end an agentic loop?","Natural language phrasing is highly variable and unpredictable, so only the structured stop_reason field is a reliable completion signal.",D1,1.1,high,discrimination,Guide §6 TS1.1 · EP02 · Part 2
basic,"Why can't a fixed iteration cap (e.g., a for-loop capped at 5 calls) serve as the primary loop-termination mechanism?","It stops the loop regardless of whether the task is actually finished; it should only act as a safety backstop, not the primary exit condition.",D1,1.1,high,discrimination,Guide §6 TS1.1 · EP02 · Part 2
basic,"Because the Claude API is stateless, what must you do with Claude's tool_use response before sending tool results back?","Append Claude's full response, including its tool_use blocks, to the conversation history as an assistant message.",D1,1.1,high,mechanism,Guide §6 TS1.1 · EP02
basic,Under what message role must tool results be sent back to the Claude API?,"The user role, wrapped in tool_result blocks.",D1,1.1,high,mechanism,Guide §6 TS1.1 · EP02 · Part 2
basic,What must match one-to-one between a tool_result block and Claude's prior response?,The tool_result's id must match the id of the corresponding tool_use block Claude issued.,D1,1.1,high,mechanism,Guide §6 TS1.1 · EP02
basic,"When a tool call fails, what should you return to the model so it can adapt?","A tool_result with the isError flag set to true, containing the error information.",D1,1.1,high,trigger,Guide §6 TS1.1 · EP02
basic,Why does the exam favor model-driven decision-making over pre-configured decision trees for ambiguous scenarios?,"Claude can reason about the next best action using full context, which handles ambiguity better than a rigid, developer-hardcoded tool sequence.",D1,1.1,high,discrimination,Guide §6 TS1.1 · Part 2
basic,What are the two required parameters of messages.create?,model and max_tokens.,D1,1.1,high,definition,Guide §6 TS1.1 · Part 2
basic,Which three optional parameters of messages.create are critical for enabling agentic behavior?,"system, tools, and messages.",D1,1.1,high,definition,Guide §6 TS1.1 · Part 2
basic,What three elements make up a tool definition that Claude sees?,"A name, a description, and an input schema.",D1,1.1,high,definition,Guide §6 TS1.1 · Part 2
basic,Why does Claude never see your tool's actual implementation code?,"Tools are only descriptions (name, description, input schema); Claude issues a tool_use request and your local code executes the real function.",D1,1.1,high,discrimination,Guide §6 TS1.1 · Part 2
basic,What three things does a tool_use content block contain?,"A unique id, the tool's name, and the input parameters Claude wants to pass.",D1,1.1,high,mechanism,Guide §6 TS1.1 · Part 2
basic,Why is scanning Claude's text for a mentioned tool name an unreliable way to decide which function to run?,Claude may mention a tool in conversation without intending to call it; only structured tool_use blocks reliably indicate an actual tool call.,D1,1.1,high,antipattern,Guide §6 TS1.1 · Part 2
basic,An agent must never end a session without either a resolution or an escalation. Why is a system-prompt instruction alone insufficient to guarantee this?,"Prompt instructions are probabilistic and have a non-zero failure rate; guaranteeing the behavior requires code-level control flow, not trust that the model will always comply.",D1,1.1,high,discrimination,Guide §6 TS1.1 · EP04 · Part 5
basic,"Besides checking stop_reason == end_turn, what else should code verify before letting an agentic session exit, to guarantee it ends in resolution or escalation?","That the terminal state actually reflects a resolution or escalation action having occurred, not merely that the model stopped producing tool calls.",D1,1.1,high,mechanism,Guide §6 TS1.1
basic,Name three loop-termination anti-patterns the exam expects you to reject.,"Parsing natural-language text for completion phrases, using a fixed iteration cap as the primary stop condition, and treating the presence of assistant text as a completion indicator.",D1,1.1,high,antipattern,Guide §6 TS1.1 · Part 2
cloze,The agentic loop continues when stop_reason equals {{c1::tool_use}} and terminates when stop_reason equals {{c2::end_turn}}.,,D1,1.1,high,mechanism,Guide §6 TS1.1 · EP02
basic,Why does verifying customer identity before a financial operation require deterministic code enforcement rather than a prompt instruction?,"Prompt instructions have a non-zero failure rate; a rule that must always hold for security/financial safety needs a guaranteed, code-level check.",D1,1.4,high,discrimination,Guide §6 TS1.4 · EP04 · Part 5
basic,What is a prerequisite gate?,A programmatic check that blocks a downstream tool call from executing until an upstream prerequisite tool has completed successfully.,D1,1.4,high,definition,Guide §6 TS1.4 · EP04 · Part 5
basic,When must enforcement move out of the system prompt and into code (a gate or hook)?,"When the rule requires guaranteed, deterministic compliance — e.g. irreversible, financial, safety-critical, or strict-compliance actions.",D1,1.4,high,trigger,Guide §6 TS1.4 · EP04 · Part 5
basic,"In the refund example, what must return successfully before process_refund can be called?",get_customer must have returned a verified customer ID.,D1,1.4,high,mechanism,Guide §6 TS1.4 · EP04
basic,"If a prerequisite gate's condition isn't satisfied, what should the wrapper do instead of letting the tool call proceed?","Raise an exception that blocks the call outright, though the agent may still reason and use other tools.",D1,1.4,high,mechanism,Guide §6 TS1.4 · Part 5
basic,What four elements should a structured handoff summary to a human agent include?,"Customer ID, root cause, refund amount (or relevant transaction detail), and recommended action.",D1,1.4,high,definition,Guide §6 TS1.4 · EP04
basic,"Why must an escalation handoff be structured rather than a vague message like ""I need help""?",Human agents lack access to the conversation transcript and are picking up the case cold; they need actionable decision context to act without re-investigating.,D1,1.4,high,discrimination,Guide §6 TS1.4 · Part 5
basic,"What four fields should a structured human-escalation handoff include, per the multi-step workflow guidance?","action_requested, context, options, and recommended_action.",D1,1.4,high,definition,Guide §6 TS1.4 · Part 5
basic,How should a multi-concern customer request (several distinct issues at once) be handled before producing a resolution?,"Decompose it into distinct items and investigate each in parallel using shared context, then synthesize a unified resolution.",D1,1.4,high,mechanism,Guide §6 TS1.4 · EP04
basic,"Why should independent concern investigations (e.g., fraud check, compliance check, risk score) run in parallel rather than sequentially?","They don't depend on each other's outputs, so parallel execution avoids unnecessary latency, and a timeout or failure in one doesn't block the others.",D1,1.4,high,discrimination,Guide §6 TS1.4 · Part 5
basic,"What's wrong with enforcing ""verify identity first"" only through a system-prompt instruction in a financial workflow?","It's probabilistic guidance the model can occasionally skip or misorder, so it cannot guarantee the deterministic compliance the operation requires.",D1,1.4,high,antipattern,Guide §6 TS1.4 · Part 5
basic,What test can you apply to decide whether an action needs code enforcement instead of prompt guidance?,"The irreversibility test: is the action irreversible, financial, safety-critical, or strict-compliance? If yes, enforce it in code; otherwise a prompt suffices.",D1,1.4,high,trigger,Guide §6 TS1.4 · Part 5
basic,"Why doesn't flagging an over-limit refund with a post-tool-use hook after it's already issued satisfy a ""refunds over $500 must never be issued automatically"" policy?","It only detects the violation after the money has already moved; a preventive block must happen before execution, via a pre-tool-use hook or gate.",D1,1.4,high,discrimination,Guide §6 TS1.4 · EP04
basic,What is the correct enforcement point for blocking a refund above a policy threshold before it executes?,A PreToolUse hook (or prerequisite gate) that intercepts the tool call before it runs and denies or redirects it.,D1,1.4,high,mechanism,Guide §6 TS1.4 · EP04
basic,"What's wrong with only instructing the agent to ""double-check the amount before calling process_refund""?",It's a prompt-based instruction with a non-zero failure rate; it cannot guarantee the refund limit is actually enforced.,D1,1.4,high,antipattern,Guide §6 TS1.4 · EP04
cloze,A {{c1::prerequisite gate}} blocks a downstream tool call in code until an upstream tool has recorded a required state.,,D1,1.4,high,definition,Guide §6 TS1.4 · Part 5
basic,Give an example of decomposing a multi-concern request into parallel concern-agents.,"One agent checks fraud signals, one checks regulatory compliance, and one calculates a risk score — run simultaneously, then the coordinator synthesizes the results.",D1,1.4,high,mechanism,Guide §6 TS1.4 · Part 5
basic,Why must dependent workflow steps stay sequential rather than run in parallel?,A later step needs the output or state produced by an earlier step; running them in parallel risks acting on missing or stale data.,D1,1.4,high,discrimination,Guide §6 TS1.4 · Part 5
basic,"In hub-and-spoke orchestration, what role does the coordinator play?","It is the hub that manages all inter-subagent communication, error handling, and information routing.",D1,1.2,normal,definition,Guide §6 TS1.2 · EP03 · Part 3
basic,"Under hub-and-spoke architecture, are subagents allowed to communicate with each other directly?",No — all communication must route through the coordinator; there is no peer-to-peer subagent communication.,D1,1.2,normal,trigger,Guide §6 TS1.2 · EP03 · Part 3
